dates,ID,turno,linea_utilizada,produccion,piezas_a_scrap,apellido,nombre
"Jan 1, 2025",1,Mañana,Linea 1,187,1,Hernández,María
"Jan 1, 2025",2,Mañana,Linea 2,224,2,Ruiz,Francisco
"Jan 1, 2025",3,Tarde,Linea 1,175,3,Ramírez,Elena
"Jan 1, 2025",4,Tarde,Linea 2,212,4,Fernández,José
"Jan 1, 2025",5,Noche,Linea 1,163,5,López,Pedro
"Jan 1, 2025",6,Noche,Linea 2,200,6,Morales,Patricia
"Jan 2, 2025",7,Mañana,Linea 1,151,7,Sánchez,Miguel
"Jan 2, 2025",8,Mañana,Linea 2,188,8,Rodríguez,Laura
"Jan 2, 2025",9,Tarde,Linea 1,225,9,Martínez,Ana
"Jan 2, 2025",10,Tarde,Linea 2,176,10,Díaz,Antonio
"Jan 2, 2025",11,Noche,Linea 1,213,11,Pérez,Carmen
"Jan 2, 2025",12,Noche,Linea 2,164,12,González,Luis
"Jan 3, 2025",13,Mañana,Linea 1,201,0,García,Carlos
"Jan 3, 2025",14,Mañana,Linea 2,152,1,Torres,Javier
"Jan 3, 2025",15,Tarde,Linea 1,189,2,Flores,Rosa
"Jan 3, 2025",16,Tarde,Linea 2,226,3,Hernández,María
"Jan 3, 2025",17,Noche,Linea 1,177,4,Ruiz,Francisco
"Jan 3, 2025",18,Noche,Linea 2,214,5,Ramírez,Elena
"Jan 4, 2025",19,Mañana,Linea 1,165,6,Fernández,José
"Jan 4, 2025",20,Mañana,Linea 2,202,7,López,Pedro
"Jan 4, 2025",21,Tarde,Linea 1,153,8,Morales,Patricia
"Jan 4, 2025",22,Tarde,Linea 2,190,9,Sánchez,Miguel
"Jan 4, 2025",23,Noche,Linea 1,227,10,Rodríguez,Laura
"Jan 4, 2025",24,Noche,Linea 2,178,11,Martínez,Ana
"Jan 5, 2025",25,Mañana,Linea 1,215,12,Díaz,Antonio
"Jan 5, 2025",26,Mañana,Linea 2,166,0,Pérez,Carmen
"Jan 5, 2025",27,Tarde,Linea 1,203,1,González,Luis
"Jan 5, 2025",28,Tarde,Linea 2,154,2,García,Carlos
"Jan 5, 2025",29,Noche,Linea 1,191,3,Torres,Javier
"Jan 5, 2025",30,Noche,Linea 2,228,4,Flores,Rosa
"Jan 6, 2025",31,Mañana,Linea 1,179,5,Hernández,María
"Jan 6, 2025",32,Mañana,Linea 2,216,6,Ruiz,Francisco
"Jan 6, 2025",33,Tarde,Linea 1,167,7,Ramírez,Elena
"Jan 6, 2025",34,Tarde,Linea 2,204,8,Fernández,José
"Jan 6, 2025",35,Noche,Linea 1,155,9,López,Pedro
"Jan 6, 2025",36,Noche,Linea 2,192,10,Morales,Patricia
"Jan 7, 2025",37,Mañana,Linea 1,229,11,Sánchez,Miguel
"Jan 7, 2025",38,Mañana,Linea 2,180,12,Rodríguez,Laura
"Jan 7, 2025",39,Tarde,Linea 1,217,0,Martínez,Ana
"Jan 7, 2025",40,Tarde,Linea 2,168,1,Díaz,Antonio
"Jan 7, 2025",41,Noche,Linea 1,205,2,Pérez,Carmen
"Jan 7, 2025",42,Noche,Linea 2,156,3,González,Luis
"Jan 8, 2025",43,Mañana,Linea 1,193,4,García,Carlos
